"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location",":@computed_region_efsh_h5xi",":@computed_region_f5dn_yrer",":@computed_region_yeji_bk3q",":@computed_region_92fq_4b7q",":@computed_region_sbqj_enih",":@computed_region_7mpf_4k6g"
"60611671","2024-03-17T13:39:04.000","2024-03-17T20:02:35.000","HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","ENTIRE BUILDING","RESIDENTIAL BUILDING","10003","235 2 AVENUE","2 AVENUE",,,,,"ADDRESS","NEW YORK",,,"Closed",,"The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.","2024-03-17T00:00:00.000","06 MANHATTAN","1008960024","MANHATTAN","988477","206196","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.73263604548764","-73.98474806092771","
,  
(40.73263604548764, -73.98474806092771)","11724","71","4","50","7","7"
"60608423","2024-03-17T13:39:10.000","2024-03-17T14:04:03.000","NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","10002","70 ORCHARD STREET","ORCHARD STREET","GRAND STREET","BROOME STREET","GRAND STREET","BROOME STREET","ADDRESS","NEW YORK","ORCHARD STREET",,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2024-03-17T14:04:05.000","03 MANHATTAN","1004080002","MANHATTAN","986866","200664","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.717452671710355","-73.9905630510564","
,  
(40.717452671710355, -73.9905630510564)","11723","70","4","32","4","4"
"60612247","2024-03-17T13:39:15.000","2024-03-17T14:49:08.000","NYPD","New York City Police Department","Blocked Driveway","Partial Access","Street/Sidewalk","11230","1468 EAST    4 STREET","EAST    4 STREET","AVENUE M","AVENUE N","AVENUE M","AVENUE N","ADDRESS","BROOKLYN","EAST    4 STREET",,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2024-03-17T14:49:11.000","12 BROOKLYN","3065660039","BROOKLYN","992277","163343","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.61501158592528","-73.97108786635526","
,  
(40.61501158592528, -73.97108786635526)","13513","2","2","18","39","39"
"60606799","2024-03-17T13:39:21.000","2024-03-17T14:21:17.000","NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","10029","1810 LEXINGTON AVENUE","LEXINGTON AVENUE","EAST  112 STREET","EAST  115 STREET","EAST  112 STREET","EAST  115 STREET","ADDRESS","NEW YORK","LEXINGTON AVENUE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T14:21:19.000","11 MANHATTAN","1016400001","MANHATTAN","999945","229402","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.79631759421467","-73.94331483579803","
,  
(40.79631759421467, -73.94331483579803)","12426","7","4","35","14","14"
"60606670","2024-03-17T13:39:27.000","2024-05-08T00:00:00.000","DOB","Department of Buildings","Building/Use","Illegal Conversion Of Residential Building/Space",,"10457","2191 RYER AVENUE","RYER AVENUE",,,,,"ADDRESS","BRONX",,,"Closed",,"The Department of Buildings attempted to investigate this complaint twice but could not gain access to the location. If the problem still exists, please call 311 and file a new complaint with additional access information. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).","2024-05-08T00:00:00.000","05 BRONX","2031570050","BRONX","1011913","250766","UNKNOWN","Unspecified","BRONX",,,,,,,,"40.85492629436439","-73.90000231334831","
,  
(40.85492629436439, -73.90000231334831)","10935","6","5","22","29","29"
"60608872","2024-03-17T13:39:30.000","2024-03-17T13:49:34.000","NYPD","New York City Police Department","Non-Emergency Police Matter","Other (complaint details)","Street/Sidewalk","10019","400 WEST   55 STREET","WEST   55 STREET","9 AVENUE","10 AVENUE","9 AVENUE","10 AVENUE","ADDRESS","NEW YORK","WEST   55 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2024-03-17T13:49:38.000","04 MANHATTAN","1010640036","MANHATTAN","987825","218639","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.76678922896015","-73.98709400443575","
,  
(40.76678922896015, -73.98709400443575)","12081","12","4","10","10","10"
"60608539","2024-03-17T13:39:31.000","2024-03-17T14:21:27.000","NYPD","New York City Police Department","Illegal Parking","Posted Parking Sign Violation","Street/Sidewalk","10030","204 WEST  138 STREET","WEST  138 STREET","ADAM CLAYTON POWELL JR BOULEVARD","FREDERICK DOUGLASS BOULEVARD","ADAM CLAYTON POWELL JR BOULEVARD","FREDERICK DOUGLASS BOULEVARD","ADDRESS","NEW YORK","WEST  138 STREET",,"Closed",,"The Police Department issued a summons in response to the complaint.","2024-03-17T14:21:32.000","10 MANHATTAN","1020230038","MANHATTAN","1000106","237080","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.81739129258364","-73.94271522258133","
,  
(40.81739129258364, -73.94271522258133)","12427","18","4","36","20","20"
"60610413","2024-03-17T13:39:43.000","2024-03-17T15:03:54.000","NYPD","New York City Police Department","Blocked Driveway","No Access","Street/Sidewalk","11234","5017 AVENUE M","AVENUE M","UTICA AVENUE","EAST   51 STREET","UTICA AVENUE","EAST   51 STREET","ADDRESS","BROOKLYN","AVENUE M",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2024-03-17T15:03:57.000","18 BROOKLYN","3078480003","BROOKLYN","1004552","165671","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.62138183712928","-73.92686804349033","
,  
(40.62138183712928, -73.92686804349033)","13825","5","2","8","38","38"
"60610676","2024-03-17T13:39:51.000","2024-03-17T14:24:54.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","11101","11-25 46 ROAD","46 ROAD","11 STREET","21 STREET","11 STREET","21 STREET","ADDRESS","LONG ISLAND CITY","46 ROAD",,"Closed",,"This complaint does not fall under the Police Department's jurisdiction.","2024-03-17T14:24:58.000","02 QUEENS","4000550013","QUEENS","998168","210916","MOBILE","Unspecified","QUEENS",,,,,,,,"40.74558133205491","-73.94977105605933","
,  
(40.74558133205491, -73.94977105605933)","16858","53","3","33","66","66"
"60610522","2024-03-17T13:40:08.000","2024-03-17T13:52:49.000","NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","10468","233 LANDING ROAD","LANDING ROAD","CEDAR AVENUE","MAJOR DEEGAN EXPRESSWAY","CEDAR AVENUE","MAJOR DEEGAN EXPRESSWAY","ADDRESS","BRONX","LANDING ROAD",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2024-03-17T13:52:52.000","07 BRONX","2032367501","BRONX","1008841","253488","ONLINE","Unspecified","BRONX",,,,,,,,"40.86240645467484","-73.91109714827905","
,  
(40.86240645467484, -73.91109714827905)","11606","24","5","29","34","34"
"60609139","2024-03-17T13:40:11.000","2024-06-24T16:50:24.000","TLC","Taxi and Limousine Commission","For Hire Vehicle Complaint","Driver Complaint - Non Passenger","Street","10016","215 EAST   32 STREET","EAST   32 STREET","3 AVENUE","2 AVENUE","3 AVENUE","2 AVENUE","ADDRESS","NEW YORK","EAST   32 STREET",,"Closed",,"A hearing was scheduled at the OATH/Taxi and Limousine Tribunal.","2024-06-24T16:50:28.000","06 MANHATTAN","1009130007","MANHATTAN","990234","210401","ONLINE","Unspecified","MANHATTAN",,,"215 EAST   32 STREET, MANHATTAN (NEW YORK), NY, 10016",,,,,"40.744176713893275","-73.9784046809753","
,  
(40.744176713893275, -73.9784046809753)","12078","71","4","50","9","9"
"60608880","2024-03-17T13:40:47.000","2024-03-25T21:09:30.000","HPD","Department of Housing Preservation and Development","ELECTRIC","LIGHTING","RESIDENTIAL BUILDING","10461","3555 BRUCKNER BOULEVARD","BRUCKNER BOULEVARD",,,,,"ADDRESS","BRONX",,,"Closed",,"The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.","2024-03-25T00:00:00.000","10 BRONX","2041780010","BRONX","1031980","248204","ONLINE","Unspecified","BRONX",,,,,,,,"40.84780869783529","-73.82748144004533","
,  
(40.84780869783529, -73.82748144004533)","11270","43","5","12","28","28"
"60607104","2024-03-17T13:40:47.000","2024-03-25T21:09:30.000","HPD","Department of Housing Preservation and Development","UNSANITARY CONDITION","GARBAGE/RECYCLING STORAGE","RESIDENTIAL BUILDING","10461","3555 BRUCKNER BOULEVARD","BRUCKNER BOULEVARD",,,,,"ADDRESS","BRONX",,,"Closed",,"The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.","2024-03-25T00:00:00.000","10 BRONX","2041780010","BRONX","1031980","248204","ONLINE","Unspecified","BRONX",,,,,,,,"40.84780869783529","-73.82748144004533","
,  
(40.84780869783529, -73.82748144004533)","11270","43","5","12","28","28"
"60607095","2024-03-17T13:40:47.000","2024-03-25T21:09:30.000","HPD","Department of Housing Preservation and Development","PAINT/PLASTER","WALL","RESIDENTIAL BUILDING","10461","3555 BRUCKNER BOULEVARD","BRUCKNER BOULEVARD",,,,,"ADDRESS","BRONX",,,"Closed",,"The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.","2024-03-25T00:00:00.000","10 BRONX","2041780010","BRONX","1031980","248204","ONLINE","Unspecified","BRONX",,,,,,,,"40.84780869783529","-73.82748144004533","
,  
(40.84780869783529, -73.82748144004533)","11270","43","5","12","28","28"
